paper,section,question,option_A,option_B,option_C,option_D,correct,explain
Paper 1,Child Development & Pedagogy,Difficulty in forming letters and writing legibly is known as,Dyscalculia,Dysgraphia,Dyslexia,Dysphasia,B,Dysgraphia is a learning difficulty that affects handwriting and the physical act of writing.
Paper 1,Child Development & Pedagogy,Persistent difficulty in reading including word recognition and decoding despite normal intelligence is called,Dysgraphia,Dyscalculia,Dyslexia,Dyspraxia,C,Dyslexia is a specific learning difficulty affecting reading, decoding and spelling.
Paper 1,Child Development & Pedagogy,Inclusive education is best understood as,Teaching only gifted learners together,Educating children with and without disabilities together with appropriate support,Running separate special schools for each disability,Online-only schooling,B,Inclusive education means children with and without disabilities learn together in the same classroom with suitable support.
Paper 1,Child Development & Pedagogy,In a progressive child-centred classroom the teacher mainly acts as,A strict disciplinarian,A facilitator of active knowledge construction,The sole source of information,An examiner who only grades,B,In a child-centred classroom the teacher facilitates active learning rather than simply transmitting information.
Paper 1,Child Development & Pedagogy,Continuous and Comprehensive Evaluation is intended mainly to,Increase exam pressure,Assess both scholastic and co-scholastic areas regularly,Rank children against one another,Replace classroom teaching,B,CCE assesses learners continuously across academic and personal-social areas rather than relying on one final exam.
Paper 1,Child Development & Pedagogy,Motivation that comes from the personal satisfaction or enjoyment of a task itself is,Extrinsic motivation,Intrinsic motivation,Negative reinforcement,Token economy,B,Intrinsic motivation arises from interest and enjoyment within the learner rather than from external rewards.
Paper 1,Child Development & Pedagogy,Over-reliance on external rewards for an enjoyable task may,Increase intrinsic motivation,Decrease intrinsic motivation,Have no effect on motivation,Improve long-term memory,B,Excessive external rewards can shift focus to the reward and reduce a learner's natural intrinsic interest.
Paper 1,Child Development & Pedagogy,The statement men think with their heads and women with their hearts mainly reflects,A genetic difference,A gender stereotype,Gender constancy,A valid scientific finding,B,The statement reflects a gender stereotype, an oversimplified generalisation about how men and women think.
Paper 1,Child Development & Pedagogy,Assessment for learning (formative assessment) is best described as,A final exam used only for grading,Ongoing assessment that gives feedback to improve learning,Comparing students to a fixed benchmark only,A one-time year-end test,B,Formative assessment is ongoing and provides feedback that helps learners and teachers improve learning.
Paper 1,Child Development & Pedagogy,Children's errors in the classroom should be seen primarily as,Signs of carelessness to be punished,A useful window into their thinking,Something to be ignored,Proof of low ability,B,Errors reveal a learner's thought process and help teachers plan responsive instruction.
Paper 1,Child Development & Pedagogy,The constructivist view holds that learning is mainly a process of,Passively absorbing information,Actively building and transforming understanding,Writing associations on a blank slate,Repeating facts until memorised,B,Constructivism sees learners as actively building knowledge by connecting new information to what they already know.
Paper 1,Child Development & Pedagogy,Two-word utterances such as want milk used by toddlers are referred to as,Babbling,Telegraphic speech,Overextension,Cooing,B,Telegraphic speech is the brief two-word stage of early language that conveys meaning with minimal words.
Paper 1,Child Development & Pedagogy,Noam Chomsky proposed that children are born with an innate capacity for language often described as the,Language Acquisition Device,Zone of Proximal Development,Operant chamber,Schema network,A,Chomsky argued for an innate Language Acquisition Device that makes rapid first-language learning possible.
Paper 1,Child Development & Pedagogy,Kinaesthetic learners tend to learn best through,Listening to lectures,Reading silently,Doing and moving,Watching demonstrations only,C,Kinaesthetic learners learn best through hands-on activity, movement and physical involvement.
Paper 1,Child Development & Pedagogy,Which classroom practice best supports children with Attention Deficit Hyperactivity Disorder?,Adding frequent distractions,Breaking tasks into small manageable steps,Long unbroken lectures,Removing all structure,B,Breaking tasks into small steps and reducing distractions helps learners with ADHD stay engaged.
Paper 1,Child Development & Pedagogy,Repeatedly telling a child she is incapable of learning is most likely to,Speed up her learning,Lower her motivation and self-esteem,Have no effect,Build a growth mindset,B,Negative labelling can foster a fixed mindset and reduce a child's motivation and confidence.
Paper 1,Child Development & Pedagogy,The most appropriate sequence for introducing a concept to young children is,Symbols then pictures then concrete objects,Concrete objects then pictures then symbols,Symbols then concrete objects then pictures,Pictures then symbols then concrete objects,B,Young children learn best moving from concrete experiences to pictures and finally to abstract symbols.
